audio_path,sentence
audios/sample1.wav,মোবাইল নাম্বার শূন্য এক আট নয় চার আট ছয় আট দুই শূন্য এক রিচার্জ করুন
audios/sample2.wav,"কার্ড নাম্বার হলো নয় তিন এক চার, চার চার নয় ছয়, পাঁচ শূন্য সাত সাত, চার দুই দুই এক"
audios/sample3.wav,"ধন্যবাদ, আবার দেখা হবে"
audios/sample4.wav,যোগাযোগের জন্য শূন্য এক সাত চার এক এক চার পাঁচ আট আট দুই ডায়াল করুন
audios/sample5.wav,মোট বকেয়া বারো হাজার পাঁচশো টাকা
audios/sample6.wav,আমার ফোন নাম্বার শূন্য এক সাত চার নয় সাত পাঁচ সাত সাত শূন্য তিন
audios/sample7.wav,বিদ্যুৎ বিল পঞ্চাশ হাজার টাকা পরিশোধ করেছি
audios/sample8.wav,আপনার বর্তমান ব্যালেন্স দুই হাজার টাকা
audios/sample9.wav,গ্যাস বিল বাবদ পঞ্চাশ হাজার টাকা জমা দিন
audios/sample10.wav,কাজটি সম্পন্ন হয়েছে
audios/sample11.wav,মোবাইল নাম্বার শূন্য এক তিন ছয় শূন্য নয় তিন শূন্য আট চার শূন্য রিচার্জ করুন
audios/sample12.wav,"আসসালামু আলাইকুম, কেমন আছেন?"
audios/sample13.wav,বিদ্যুৎ বিল সাতশো পঞ্চাশ টাকা পরিশোধ করেছি
audios/sample14.wav,"আমার ক্রেডিট কার্ড নাম্বার নয় আট নয় পাঁচ, শূন্য পাঁচ ছয় পাঁচ, ছয় দুই দুই দুই, নয় নয় সাত ছয়"
audios/sample15.wav,"আসসালামু আলাইকুম, কেমন আছেন?"
audios/sample16.wav,আমি কি আপনাকে সাহায্য করতে পারি?
audios/sample17.wav,আপনার বিল নাম্বার নয় এক পাঁচ ছয় সাত নয়
audios/sample18.wav,মোবাইল নাম্বার শূন্য এক সাত পাঁচ চার পাঁচ শূন্য আট আট শূন্য পাঁচ রিচার্জ করুন
audios/sample19.wav,আপনার ওটিপি হলো দুই নয় পাঁচ এক তিন দুই
audios/sample20.wav,আপনার ওটিপি হলো চার ছয় চার নয় শূন্য নয়
audios/sample21.wav,যোগাযোগের জন্য শূন্য এক সাত পাঁচ তিন নয় সাত সাত সাত নয় আট ডায়াল করুন
audios/sample22.wav,"ধন্যবাদ, আবার দেখা হবে"
audios/sample23.wav,যোগাযোগের জন্য শূন্য এক তিন আট ছয় শূন্য আট ছয় চার দুই তিন ডায়াল করুন
audios/sample24.wav,"ধন্যবাদ, আবার দেখা হবে"
audios/sample25.wav,বিদ্যুৎ বিল বারো হাজার পাঁচশো টাকা পরিশোধ করেছি
audios/sample26.wav,আপনার ওটিপি হলো শূন্য চার তিন পাঁচ শূন্য পাঁচ
audios/sample27.wav,মোবাইল নাম্বার শূন্য এক আট চার ছয় পাঁচ সাত পাঁচ চার পাঁচ ছয় রিচার্জ করুন
audios/sample28.wav,গ্যাস বিল বাবদ পঞ্চাশ হাজার টাকা জমা দিন
audios/sample29.wav,"ধন্যবাদ, আবার দেখা হবে"
audios/sample30.wav,গ্যাস বিল বাবদ পঞ্চাশ হাজার টাকা জমা দিন
audios/sample31.wav,"আসসালামু আলাইকুম, কেমন আছেন?"
audios/sample32.wav,মোবাইল নাম্বার শূন্য এক নয় নয় দুই পাঁচ ছয় এক নয় দুই সাত রিচার্জ করুন
audios/sample33.wav,আমার ফোন নাম্বার শূন্য এক পাঁচ আট দুই নয় নয় নয় ছয় ছয় চার
audios/sample34.wav,যোগাযোগের জন্য শূন্য এক আট পাঁচ শূন্য পাঁচ নয় নয় এক পাঁচ নয় ডায়াল করুন
audios/sample35.wav,মোবাইল নাম্বার শূন্য এক তিন সাত তিন সাত এক পাঁচ পাঁচ দুই তিন রিচার্জ করুন
audios/sample36.wav,"কার্ড নাম্বার হলো তিন সাত সাত নয়, সাত সাত শূন্য সাত, নয় তিন পাঁচ ছয়, সাত নয় সাত এক"
audios/sample37.wav,আমার ফোন নাম্বার শূন্য এক ছয় শূন্য ছয় পাঁচ চার দুই এক চার ছয়
audios/sample38.wav,যোগাযোগের জন্য শূন্য এক নয় আট এক তিন নয় শূন্য ছয় পাঁচ শূন্য ডায়াল করুন
audios/sample39.wav,"কার্ড নাম্বার হলো শূন্য তিন এক নয়, সাত নয় নয় নয়, নয় তিন চার তিন, সাত সাত চার দুই"
audios/sample40.wav,আমি কি আপনাকে সাহায্য করতে পারি?
audios/sample41.wav,"আমার ক্রেডিট কার্ড নাম্বার চার শূন্য চার নয়, তিন এক আট তিন, এক চার শূন্য এক, আট চার পাঁচ ছয়"
audios/sample42.wav,যোগাযোগের জন্য শূন্য এক তিন চার দুই এক এক ছয় শূন্য ছয় চার ডায়াল করুন
audios/sample43.wav,আপনার ওটিপি হলো শূন্য পাঁচ নয় তিন আট সাত
audios/sample44.wav,"ধন্যবাদ, আবার দেখা হবে"
audios/sample45.wav,আমার ফোন নাম্বার শূন্য এক ছয় শূন্য চার নয় পাঁচ এক তিন শূন্য তিন
audios/sample46.wav,"শুভ সকাল, দিনটি ভালো কাটুক"
audios/sample47.wav,মোবাইল নাম্বার শূন্য এক নয় ছয় ছয় ছয় চার এক এক শূন্য সাত রিচার্জ করুন
audios/sample48.wav,আমার ফোন নাম্বার শূন্য এক তিন এক তিন পাঁচ সাত নয় দুই তিন ছয়
audios/sample49.wav,মোবাইল নাম্বার শূন্য এক পাঁচ দুই ছয় ছয় পাঁচ দুই নয় নয় দুই রিচার্জ করুন
audios/sample50.wav,আপনার ওটিপি হলো এক শূন্য নয় তিন সাত এক
audios/sample51.wav,"শুভ সকাল, দিনটি ভালো কাটুক"
audios/sample52.wav,মোবাইল নাম্বার শূন্য এক ছয় সাত এক পাঁচ শূন্য নয় পাঁচ শূন্য নয় রিচার্জ করুন
audios/sample53.wav,গ্যাস বিল বাবদ সাতশো পঞ্চাশ টাকা জমা দিন
audios/sample54.wav,মোট বকেয়া সাতশো পঞ্চাশ টাকা
audios/sample55.wav,মোট বকেয়া এক হাজার টাকা
audios/sample56.wav,আপনার বিল নাম্বার সাত শূন্য চার নয় পাঁচ আট
audios/sample57.wav,আমার ফোন নাম্বার শূন্য এক সাত নয় সাত নয় চার আট শূন্য শূন্য শূন্য
audios/sample58.wav,আপনার বিল নাম্বার পাঁচ ছয় এক পাঁচ এক নয়
audios/sample59.wav,"আমার ক্রেডিট কার্ড নাম্বার নয় দুই তিন পাঁচ, সাত সাত আট তিন, চার শূন্য আট পাঁচ, পাঁচ নয় চার সাত"
audios/sample60.wav,বিদ্যুৎ বিল দুই হাজার টাকা পরিশোধ করেছি
audios/sample61.wav,"কার্ড নাম্বার হলো পাঁচ তিন পাঁচ দুই, ছয় চার পাঁচ তিন, ছয় ছয় সাত এক, তিন তিন শূন্য শূন্য"
audios/sample62.wav,গ্যাস বিল বাবদ পাঁচশো টাকা জমা দিন
audios/sample63.wav,বিদ্যুৎ বিল পাঁচশো টাকা পরিশোধ করেছি
audios/sample64.wav,"কার্ড নাম্বার হলো চার চার নয় আট, শূন্য পাঁচ পাঁচ দুই, আট নয় সাত এক, দুই চার সাত আট"
audios/sample65.wav,মোট বকেয়া সাতশো পঞ্চাশ টাকা
audios/sample66.wav,কাজটি সম্পন্ন হয়েছে
audios/sample67.wav,যোগাযোগের জন্য শূন্য এক পাঁচ এক চার ছয় ছয় সাত চার আট চার ডায়াল করুন
audios/sample68.wav,মোবাইল নাম্বার শূন্য এক নয় নয় শূন্য সাত ছয় তিন শূন্য দুই ছয় রিচার্জ করুন
audios/sample69.wav,আপনার ওটিপি হলো আট শূন্য শূন্য শূন্য চার এক
audios/sample70.wav,"আমার ক্রেডিট কার্ড নাম্বার এক শূন্য আট তিন, ছয় তিন শূন্য পাঁচ, তিন শূন্য চার শূন্য, নয় নয় ছয় সাত"
audios/sample71.wav,"আমার ক্রেডিট কার্ড নাম্বার শূন্য এক দুই ছয়, এক ছয় সাত এক, ছয় সাত তিন আট, শূন্য শূন্য তিন দুই"
audios/sample72.wav,গ্যাস বিল বাবদ দশ হাজার টাকা জমা দিন
audios/sample73.wav,মোবাইল নাম্বার শূন্য এক পাঁচ শূন্য তিন আট পাঁচ সাত শূন্য আট পাঁচ রিচার্জ করুন
audios/sample74.wav,আপনার বর্তমান ব্যালেন্স এক হাজার টাকা
audios/sample75.wav,"কার্ড নাম্বার হলো ছয় দুই নয় তিন, পাঁচ এক আট চার, এক তিন চার চার, ছয় ছয় চার তিন"
audios/sample76.wav,আমার ফোন নাম্বার শূন্য এক তিন শূন্য তিন আট ছয় দুই এক ছয় শূন্য
audios/sample77.wav,আপনার বর্তমান ব্যালেন্স এক লক্ষ টাকা
audios/sample78.wav,আপনার বর্তমান ব্যালেন্স দুই হাজার টাকা
audios/sample79.wav,"কার্ড নাম্বার হলো নয় চার শূন্য শূন্য, পাঁচ ছয় দুই এক, চার সাত চার তিন, শূন্য এক তিন আট"
audios/sample80.wav,"আমার ক্রেডিট কার্ড নাম্বার দুই এক ছয় সাত, চার নয় শূন্য আট, তিন নয় সাত পাঁচ, নয় চার নয় তিন"
audios/sample81.wav,আপনার বর্তমান ব্যালেন্স পাঁচশো টাকা
audios/sample82.wav,গ্যাস বিল বাবদ দশ হাজার টাকা জমা দিন
audios/sample83.wav,আপনার বিল নাম্বার সাত দুই শূন্য এক তিন পাঁচ
audios/sample84.wav,আপনার ওটিপি হলো সাত নয় দুই শূন্য এক পাঁচ
audios/sample85.wav,যোগাযোগের জন্য শূন্য এক পাঁচ আট সাত নয় ছয় এক আট শূন্য সাত ডায়াল করুন
audios/sample86.wav,মোট বকেয়া দুই হাজার টাকা
audios/sample87.wav,যোগাযোগের জন্য শূন্য এক আট ছয় ছয় নয় নয় দুই সাত নয় দুই ডায়াল করুন
audios/sample88.wav,আপনার বর্তমান ব্যালেন্স পাঁচ হাজার টাকা
audios/sample89.wav,গ্যাস বিল বাবদ বিশ হাজার টাকা জমা দিন
audios/sample90.wav,"কার্ড নাম্বার হলো দুই তিন শূন্য পাঁচ, দুই তিন দুই নয়, শূন্য নয় পাঁচ আট, দুই নয় আট সাত"
audios/sample91.wav,বিদ্যুৎ বিল এক হাজার টাকা পরিশোধ করেছি
audios/sample92.wav,আপনার দিনটি শুভ হোক
audios/sample93.wav,দয়া করে লাইনটি কাটবেন না
audios/sample94.wav,"কার্ড নাম্বার হলো চার নয় সাত সাত, ছয় ছয় তিন সাত, চার এক নয় এক, তিন শূন্য শূন্য ছয়"
audios/sample95.wav,মোবাইল নাম্বার শূন্য এক নয় নয় শূন্য চার এক সাত তিন তিন সাত রিচার্জ করুন
audios/sample96.wav,আপনার ওটিপি হলো এক শূন্য পাঁচ তিন এক দুই
audios/sample97.wav,আপনার বিল নাম্বার এক পাঁচ তিন আট চার এক
audios/sample98.wav,যোগাযোগের জন্য শূন্য এক আট সাত এক সাত আট তিন শূন্য নয় নয় ডায়াল করুন
audios/sample99.wav,"আমার ক্রেডিট কার্ড নাম্বার চার দুই সাত ছয়, দুই সাত নয় দুই, শূন্য দুই ছয় এক, আট চার এক এক"
audios/sample100.wav,আমার ফোন নাম্বার শূন্য এক আট নয় আট শূন্য শূন্য শূন্য ছয় এক সাত
audios/sample101.wav,মোবাইল নাম্বার শূন্য এক পাঁচ দুই ছয় ছয় এক নয় নয় চার দুই রিচার্জ করুন
audios/sample102.wav,আমার ফোন নাম্বার শূন্য এক পাঁচ দুই দুই শূন্য পাঁচ আট ছয় আট এক
audios/sample103.wav,মোট বকেয়া পাঁচ হাজার টাকা
audios/sample104.wav,আপনার বর্তমান ব্যালেন্স পঞ্চাশ হাজার টাকা
audios/sample105.wav,আমার ফোন নাম্বার শূন্য এক নয় সাত শূন্য শূন্য ছয় আট সাত চার পাঁচ
audios/sample106.wav,গ্যাস বিল বাবদ পঞ্চাশ হাজার টাকা জমা দিন
audios/sample107.wav,মোবাইল নাম্বার শূন্য এক পাঁচ চার দুই নয় নয় শূন্য ছয় ছয় তিন রিচার্জ করুন
audios/sample108.wav,আমার ফোন নাম্বার শূন্য এক পাঁচ পাঁচ পাঁচ নয় শূন্য ছয় পাঁচ শূন্য পাঁচ
audios/sample109.wav,আমার ফোন নাম্বার শূন্য এক আট আট দুই ছয় শূন্য শূন্য এক পাঁচ সাত
audios/sample110.wav,আপনার ওটিপি হলো তিন এক আট আট পাঁচ ছয়
audios/sample111.wav,মোবাইল নাম্বার শূন্য এক সাত শূন্য এক শূন্য চার ছয় দুই আট আট রিচার্জ করুন
audios/sample112.wav,যোগাযোগের জন্য শূন্য এক পাঁচ শূন্য নয় তিন পাঁচ চার নয় তিন নয় ডায়াল করুন
audios/sample113.wav,আপনার ওটিপি হলো দুই চার শূন্য শূন্য তিন দুই
audios/sample114.wav,"শুভ সকাল, দিনটি ভালো কাটুক"
audios/sample115.wav,আমার ফোন নাম্বার শূন্য এক নয় সাত চার ছয় দুই ছয় ছয় ছয় সাত
audios/sample116.wav,মোট বকেয়া এক হাজার টাকা
audios/sample117.wav,আমার ফোন নাম্বার শূন্য এক ছয় সাত এক পাঁচ সাত সাত আট তিন নয়
audios/sample118.wav,মোবাইল নাম্বার শূন্য এক আট নয় চার আট চার তিন নয় আট ছয় রিচার্জ করুন
audios/sample119.wav,"কার্ড নাম্বার হলো এক এক চার আট, চার এক পাঁচ এক, তিন আট দুই তিন, পাঁচ তিন আট পাঁচ"
audios/sample120.wav,"শুভ সকাল, দিনটি ভালো কাটুক"
audios/sample121.wav,বিদ্যুৎ বিল পাঁচ হাজার টাকা পরিশোধ করেছি
audios/sample122.wav,আমার ফোন নাম্বার শূন্য এক আট আট ছয় তিন তিন নয় সাত শূন্য ছয়
audios/sample123.wav,"আমার ক্রেডিট কার্ড নাম্বার দুই শূন্য আট আট, দুই তিন সাত সাত, শূন্য শূন্য শূন্য সাত, নয় চার পাঁচ আট"
audios/sample124.wav,আপনি কি নিশ্চিত করতে চান?
audios/sample125.wav,আপনার অনুরোধটি রাখা হয়েছে
audios/sample126.wav,"ধন্যবাদ, আবার দেখা হবে"
audios/sample127.wav,আপনার বিল নাম্বার সাত দুই শূন্য আট এক এক
audios/sample128.wav,মোট বকেয়া সাতশো পঞ্চাশ টাকা
audios/sample129.wav,আপনার ওটিপি হলো ছয় নয় আট তিন ছয় সাত
audios/sample130.wav,মোট বকেয়া এক লক্ষ টাকা
audios/sample131.wav,আমার ফোন নাম্বার শূন্য এক সাত তিন আট নয় দুই নয় সাত তিন তিন
audios/sample132.wav,আপনার ওটিপি হলো আট তিন দুই দুই নয় পাঁচ
audios/sample133.wav,মোবাইল নাম্বার শূন্য এক পাঁচ পাঁচ ছয় সাত তিন আট আট এক পাঁচ রিচার্জ করুন
audios/sample134.wav,আমার ফোন নাম্বার শূন্য এক সাত চার পাঁচ ছয় আট এক এক ছয় নয়
audios/sample135.wav,"কার্ড নাম্বার হলো চার এক নয় তিন, নয় দুই সাত পাঁচ, দুই পাঁচ শূন্য সাত, ছয় সাত চার শূন্য"
audios/sample136.wav,"কার্ড নাম্বার হলো তিন তিন তিন এক, আট সাত এক চার, শূন্য এক দুই পাঁচ, দুই পাঁচ নয় আট"
audios/sample137.wav,গ্যাস বিল বাবদ পাঁচশো টাকা জমা দিন
audios/sample138.wav,আপনার ওটিপি হলো ছয় এক পাঁচ শূন্য চার চার
audios/sample139.wav,আমার ফোন নাম্বার শূন্য এক তিন চার নয় এক শূন্য এক চার সাত চার
audios/sample140.wav,মোট বকেয়া পাঁচ হাজার টাকা
audios/sample141.wav,আপনার বিল নাম্বার নয় শূন্য পাঁচ তিন এক ছয়
audios/sample142.wav,"আমার ক্রেডিট কার্ড নাম্বার শূন্য নয় নয় সাত, এক তিন নয় শূন্য, শূন্য নয় চার সাত, পাঁচ সাত এক ছয়"
audios/sample143.wav,আপনি কি নিশ্চিত করতে চান?
audios/sample144.wav,"আমার ক্রেডিট কার্ড নাম্বার চার নয় দুই পাঁচ, আট পাঁচ ছয় আট, দুই এক নয় দুই, সাত চার দুই তিন"
audios/sample145.wav,"আমার ক্রেডিট কার্ড নাম্বার এক দুই ছয় চার, তিন শূন্য চার নয়, চার শূন্য পাঁচ এক, নয় ছয় চার নয়"
audios/sample146.wav,আমার ফোন নাম্বার শূন্য এক সাত আট আট এক এক তিন সাত আট শূন্য
audios/sample147.wav,মোবাইল নাম্বার শূন্য এক তিন সাত পাঁচ পাঁচ এক তিন সাত পাঁচ সাত রিচার্জ করুন
audios/sample148.wav,"আমার ক্রেডিট কার্ড নাম্বার পাঁচ দুই দুই এক, ছয় পাঁচ নয় পাঁচ, তিন নয় পাঁচ সাত, আট তিন এক নয়"
audios/sample149.wav,মোবাইল নাম্বার শূন্য এক সাত চার নয় আট তিন নয় শূন্য চার তিন রিচার্জ করুন
audios/sample150.wav,"কার্ড নাম্বার হলো সাত চার তিন এক, আট এক দুই পাঁচ, পাঁচ তিন এক এক, সাত ছয় পাঁচ নয়"
audios/sample151.wav,মোবাইল নাম্বার শূন্য এক তিন আট দুই ছয় দুই ছয় সাত ছয় নয় রিচার্জ করুন
audios/sample152.wav,আপনি কি নিশ্চিত করতে চান?
audios/sample153.wav,"আমার ক্রেডিট কার্ড নাম্বার ছয় সাত এক নয়, শূন্য তিন এক চার, তিন দুই চার সাত, দুই নয় শূন্য সাত"
